visit_id,variation,completed
912474045_18553751028_848136,Test,0
806578846_97389557924_133757,Test,0
173351919_54975768229_917877,Test,1
370413848_60527755770_630616,Control,1
995900107_33420251724_601640,Test,0
107090185_43642799759_974372,Test,1
981592119_3517488260_273752,Test,0
55925176_96587326616_546912,Control,0
128341898_36139070291_42472,Control,1
906220911_30084360991_569698,Control,0
370975189_39308215077_996644,Test,1
460511871_59865381205_863421,Control,1
394852240_80105847797_840801,Test,0
653280650_72561622578_334542,Control,1
850317739_88254761469_778057,Test,0
378806021_6230909099_685176,Test,0
847677497_23797202308_479355,Control,1
477349717_38859061651_507182,Test,0
895785171_41243799262_230694,Control,0
343185288_73172911654_377845,Control,1
88425847_9039370587_416790,Control,0
845365202_14785834194_225489,Test,1
917340896_99206504217_923604,Test,1
115555598_69607650885_112658,Test,0
585336355_65951295375_910807,Test,1
794554349_43495537412_894705,Test,0
901396381_46966302914_426693,Test,1
511328719_18394402500_362185,Control,0
622951601_59122135740_866881,Control,0
133825955_79676429457_127421,Control,0
626651360_39153296564_422478,Control,1
996364210_82845905599_940221,Test,1
735215874_1995050415_502118,Test,0
431781708_19226434078_761392,Test,1
259117325_32888963977_563344,Test,0
475145185_99451134543_491070,Test,0
12630828_83545503913_199854,Test,0
301699576_3435660520_777107,Test,1
42728801_10310247248_731726,Test,0
136788691_92618778805_982369,Test,1
403900037_60984118746_625524,Control,1
423017963_86940905283_317835,Control,0
935898992_18165341829_891931,Control,1
206755239_23265557925_582132,Control,0
207982865_9827187316_280798,Control,1
689989872_19936220596_239625,Test,0
911638102_8364652968_118060,Test,1
249126671_10978321238_556243,Test,1
858855150_79944152055_827236,Control,0
60171727_19710631008_342023,Control,0
504420631_89521918869_299587,Control,0
660413572_70393599030_45363,Control,1
664852969_12090073705_795060,Test,1
115608336_76684043906_15133,Test,0
24572144_14438781159_850955,Control,0
290627163_47019320681_607513,Control,0
400919430_52952588069_26646,Control,0
497972406_65889102552_279229,Control,0
21025067_91714169002_915550,Test,0
250523829_95500940518_298254,Test,1
827429026_93117274602_858366,Control,1
436342935_89321308421_761943,Test,1
105733065_54467481472_535394,Test,1
960626030_22557495890_632549,Test,1
721397901_3579267939_491367,Control,1
769933893_79496227759_539289,Control,0
34974285_12103220690_665468,Control,1
339334151_13089181729_687697,Test,1
918642759_59224134861_908479,Test,0
178089442_19367378606_558976,Test,1
317218303_27315668017_337677,Control,0
502453977_87411039510_372316,Control,1
601273260_87529376987_299509,Test,1
219482771_46457792662_602740,Test,1
136552691_9985356274_274027,Test,1
414872947_52709138698_134094,Control,1
318088882_82309044370_949434,Test,0
37065188_46853602199_34177,Test,0
361818772_64177340984_51407,Test,0
529130080_76579396378_26421,Control,1
518277981_69162475927_533386,Test,1
90918307_63295181879_738039,Control,0
706315082_10917504633_337964,Control,0
390670975_3820544855_693563,Control,1
921307552_78247193786_983887,Control,1
1786248_96344302639_931917,Control,1
436332298_12587058503_965475,Control,0
221993700_23639879168_117725,Control,1
917925061_53397690_443166,Test,1
924799080_66374276325_185959,Test,1
171829392_36197461944_602015,Test,0
125656781_39000984171_515476,Test,0
586216793_8018439748_666702,Test,0
832760795_27066787108_904791,Control,0
496462753_62492620854_616992,Test,0
753558632_12144619013_15614,Control,1
693297213_91349289502_818961,Control,0
839522975_22481299527_402780,Test,0
763022868_30462121475_692426,Test,0
299702197_29526665385_794425,Control,0
578297239_74115917935_825803,Control,1
319481341_13036329429_590857,Control,0
284770708_64275155721_269000,Test,1
699985579_25118273571_160768,Control,1
50215474_64495970080_645545,Test,0
523655911_27235354355_85261,Control,0
761286784_27775877479_265451,Control,1
715695743_55924118291_440080,Test,1
586901141_88775431596_412607,Test,0
786117689_92237638055_554173,Control,1
116838683_34710518573_126156,Test,0
627256642_69290063294_6409,Test,0
375797316_14078900938_642845,Control,1
57441720_40804521935_751090,Control,0
423126024_98065541944_919821,Test,0
109415641_80486479993_405317,Test,1
901599669_68376429479_754050,Test,1
156811723_35673300266_863427,Test,0
922893249_62868007987_932171,Test,1
703476938_95731546884_966437,Control,1
899950702_89548750026_600760,Control,0
903904644_49601904382_687933,Control,0
448629490_90725583881_451502,Control,1
188122910_56822413567_353997,Control,1
723779847_25956678707_835290,Test,1
969197011_87080190077_494444,Control,1
643769355_17535961764_830403,Test,0
238904773_78573800607_694655,Test,0
994086716_77616417645_170453,Test,1
966184584_88609803467_910277,Control,0
897629885_20490648683_743820,Control,0
696803369_37090234456_767043,Control,1
464227757_73911391390_791128,Test,1
261383907_7387979803_766355,Test,0
780577702_90360490676_400546,Test,0
454788886_4484782090_620323,Test,0
939023639_41910991591_929064,Test,0
859012409_66879889162_191,Test,0
7076463_57954418406_971348,Test,0
198119648_77242137288_115903,Test,0
433172000_73662157983_665335,Control,0
595513146_52325387567_199902,Control,1
621494386_48635080108_923424,Test,0
676225692_90932757715_618559,Test,0
510400190_2322602037_973579,Test,1
840399379_7909261784_389042,Control,0
157784932_13738443416_984094,Control,0
850246309_89885158050_125518,Test,1
131147598_56238808495_743616,Control,0
91701255_30169332702_816461,Test,0
832439450_49819519250_758372,Control,0
473159385_54834792024_188401,Test,1
923557477_41121376930_741084,Control,1
888544353_10617254163_915657,Control,1
210614027_52377451430_234902,Test,1
579763428_27363229634_208793,Test,0
865356829_48158807527_56900,Control,0
171163533_44932983923_677271,Control,1
592553836_39511854617_302996,Control,1
247839346_73989430612_286541,Test,0
756000177_24519514689_631573,Control,1
925326677_17503719349_357036,Control,1
374769847_97233040054_569583,Test,1
502710294_98040669720_380687,Control,1
179005862_45107676778_165821,Test,1
731622978_30458329455_290774,Control,1
692681046_64055288132_507836,Test,0
945485074_73963855498_177523,Test,1
659425912_97226012031_370466,Test,0
114956145_67618573470_763788,Test,0
465827305_68922722780_869185,Control,1
212648078_68957435116_916561,Control,0
641374695_10410357582_410829,Control,1
184188212_42348855984_745609,Test,0
5505328_43125936577_210655,Test,1
363486279_15118966144_42973,Control,0
623353082_89443120766_819890,Control,0
666269468_36997358987_647264,Test,0
786983569_44645758561_559075,Test,0
281896367_66824177317_809762,Test,1
188083042_1325110260_302482,Control,1
840228178_79476641531_520906,Test,0
300485834_10524669051_605849,Control,1
284761382_25833223694_970978,Control,1
611585422_80217012264_147702,Control,1
955658928_21424055896_151184,Control,0
674611180_8021553046_617512,Test,0
201701983_93993099981_270273,Test,0
754851731_34081176398_715224,Control,0
741675758_66829180162_75731,Control,1
205656664_13097337520_77432,Control,1
623393939_77127944469_538640,Test,0
671097402_83290981313_183172,Test,1
581143418_56357475769_266609,Test,1
826058344_33507005533_227992,Test,0
609122397_11631840322_902854,Test,0
181470452_6136606608_304529,Control,1
480777671_2399529118_886167,Control,0
941558125_94593804042_618031,Control,0
259799572_40085456690_734426,Control,0
599534819_32131916338_208411,Control,0
651765300_55154794983_97974,Test,0
915189057_97775849314_580608,Test,0
987078445_79184347086_558213,Test,0
105713435_18275303055_967670,Test,1
902755864_71024695616_751526,Control,1
432545123_5099390422_916087,Control,0
30577080_56707254856_916762,Control,1
401812297_75394958148_925043,Control,0
396921193_23604569264_831356,Test,0
650996783_99862259784_662209,Test,0
103097108_59620739018_675854,Control,0
196079681_9076946966_271438,Test,1
866671154_76950596471_409249,Control,0
447138311_25891574489_676903,Control,0
303478269_44721304353_872848,Control,0
405709891_7053594996_234756,Control,0
873686923_15598863184_685198,Control,1
52855078_86286569789_646713,Control,0
538174676_32861564288_639061,Control,1
854502052_54832496754_615174,Control,0
256810064_44829081130_189751,Test,0
150948252_7513544440_845826,Test,0
229872255_23652022545_508135,Control,1
199524830_37998405579_743336,Control,1
294792291_63119882840_541157,Control,1
827369307_17219629784_158499,Test,1
440453684_79853325050_896380,Test,0
92727272_95786004059_361194,Control,1
811050390_4908707783_505963,Control,1
930788072_72560862181_588043,Control,1
786830738_21444732400_224653,Control,0
619575952_39821860405_172695,Control,1
979722031_50610093616_204632,Control,1
682505269_91163353292_227546,Control,1
436375370_93077567272_911834,Test,0
720532458_37420324072_826802,Control,0
165962236_63892464608_677071,Control,1
194471241_93096980194_578527,Control,0
243960209_5543565770_8148,Test,0
986533763_64333500173_487967,Test,0
819730298_96144103980_907137,Test,1
724609698_96246196144_822430,Control,1
752153610_12279696132_556766,Test,1
673940970_68007969155_935745,Test,1
101648946_2986090802_45728,Test,1
488685876_84374956685_720845,Control,1
287496892_55906959605_500639,Control,0
36982530_74186935513_811020,Test,1
95513479_92280239750_332129,Control,0
345491591_29028164252_545726,Control,1
713963875_50922808107_535200,Control,1
574394244_17349977219_183464,Control,0
35993200_49741717715_856268,Control,0
300090869_64582859512_18848,Control,0
423324367_11327875233_860591,Control,1
509616372_11849606530_579687,Test,1
659149261_96852938167_384299,Test,1
987152421_20383338743_448557,Test,1
9809330_68642141277_17156,Control,0
570927348_66766632724_19685,Control,1
88999456_29314509104_515925,Control,1
712534601_17120956507_253299,Test,1
359746456_89609879012_486826,Control,1
212183612_38029901608_625766,Test,1
387756482_48832441237_181476,Test,0
723817312_23762284781_886190,Test,0
317853783_72022338157_310516,Test,0
493253142_36164768324_31021,Test,0
974503683_65540938364_62252,Control,0
44517142_33582625914_962928,Control,0
987927361_12242830578_571569,Test,0
95100619_38485297087_193119,Test,0
937446179_56008855263_581291,Test,1
2608282_19782018760_314751,Test,0
136706826_45429006359_614666,Control,1
23437045_45261712085_361750,Control,0
261822468_7683342027_903490,Control,0
469480550_29056201273_174164,Test,1
678132006_30820813842_594303,Control,1
598999699_42401713966_485939,Test,0
705451191_70413780104_871419,Test,1
135823997_53646823059_736466,Control,0
616808420_89526479568_902150,Test,1
403978688_33354391156_508592,Test,0
622596298_22415783758_997914,Test,1
30265877_92547785820_35201,Control,0
382380977_45019180031_240763,Control,1
73361269_59469252975_762285,Test,0
793615864_60040017176_211868,Test,1
777069529_95246738658_38235,Test,1
818948647_57851449661_474265,Control,0
669524980_42877754213_49415,Test,1
323590312_90028391236_96159,Test,0
968541197_72097319242_839350,Test,1
321958918_78306370566_919820,Test,0
906074754_36405466637_26057,Test,0
586731442_65414244307_745256,Control,1
285466511_74991036931_104904,Test,0
872650430_56028904581_664009,Test,0
766609567_94529181388_429729,Test,0
557598317_12154720014_736895,Test,0
959575761_91662958016_10518,Control,0
78558295_42422218659_892202,Test,1
492564893_76646856538_495034,Test,0
370314910_17280160239_102609,Control,1
248794851_42331793260_734348,Control,0
724428105_52603186610_103120,Control,0
426130394_43431267868_969654,Control,0
253162172_16018206400_577361,Test,1
646942595_14117448844_162635,Test,0
951275573_38692079792_920724,Control,1
893695105_15926283762_802065,Test,1
577730046_16786473175_632061,Test,0
76945159_68203157690_553956,Test,0
757651323_19430059015_129978,Test,1
761079362_23318446402_108553,Test,0
205931297_17641585200_996127,Control,1
263054935_81061841576_68657,Test,1
531799672_58840097993_853184,Test,1
755537386_79317913740_229609,Control,0
889632903_51665775887_596990,Test,1
658847754_88991831770_207418,Control,1
180843033_4898133176_629486,Control,1
955659742_40071482500_316453,Control,0
71326686_61657865099_480339,Test,0
603316718_23200847880_976883,Control,1
947238627_6557859091_98821,Control,0
194988260_74189022594_946837,Control,1
87846040_59889523776_487492,Control,0
740161862_33378499069_6451,Test,0
596970838_37784989597_630490,Test,0
94113097_22240271782_917167,Control,1
116203576_85467719679_960474,Test,0
261360478_30528279385_88617,Test,1
548872076_15668919487_273499,Test,1
867351132_50706016591_900530,Control,0
390786939_57855857850_171045,Test,0
75313676_69858024902_755898,Control,0
279236828_50550518549_569253,Control,1
268663775_37083342041_663439,Control,0
259712880_91619398898_922199,Control,0
886083511_19782087550_389870,Control,1
579350741_19153261849_192325,Control,0
453015153_29414981379_369516,Test,1
479851877_8224531781_606078,Test,0
214943370_78694892674_453636,Control,0
174405857_62822364409_413168,Control,1
274587578_31242524986_226845,Control,0
238978521_65329045088_306592,Control,1
978148334_95863595428_15776,Test,0
611422011_82167234986_895253,Test,0
530473543_72242180868_382472,Test,1
662252315_22364635734_799157,Test,0
64181215_75821504753_79996,Test,0
3189990_4912696611_593102,Control,1
921010285_49164810842_998358,Control,0
101834489_14041973684_933577,Test,1
864723997_67105001335_854398,Control,1
741809361_33568254878_150574,Test,0
584744318_53229143123_906296,Test,1
125124866_36273638075_105523,Test,1
420805155_27826545891_816408,Control,0
773557816_28970014171_363744,Control,0
677941202_11230298566_46303,Control,1
822306123_45324193658_894883,Control,0
963978540_19997895851_74503,Control,0
964697655_61629316757_252840,Control,0
380878159_97179880822_80263,Control,0
348475298_25683622278_339964,Control,1
337762495_13635463496_440213,Test,0
500691507_26811956937_377659,Test,1
548106425_63156930772_561583,Test,0
104052567_51896422006_946275,Test,1
741316645_16968799052_566843,Test,0
615417362_16622159117_749467,Control,1
177708081_17825538636_276386,Control,0
262275779_98958318593_152914,Test,0
441036798_84405811257_187122,Control,1
657598597_44379170936_453701,Test,1
354392882_93588973500_13276,Control,0
414589537_19646594616_334238,Test,1
394039908_76040759313_347433,Test,1
539961319_20393762283_824326,Control,0
397063040_87850115099_323688,Test,0
692600244_53985557438_820057,Test,1
597896707_57907600674_970542,Test,0
287733398_55353032144_264806,Control,1
595361025_24882758840_794745,Test,1
297675049_8818959093_665023,Control,0
190016318_17390990852_171220,Control,0
544897400_70691300477_994398,Control,1
336624935_99665946364_645057,Test,0
191725294_72379968066_342624,Test,0
309984966_81475361538_497679,Test,0
64023066_52774606638_332233,Test,0
380155318_44096617457_500404,Control,1
813338692_42989838992_882859,Test,0
407853373_4345193157_941658,Test,1
981072820_71085700898_470769,Control,1
832622402_45597294114_523720,Test,0
645705075_27061782775_956672,Control,1
130054374_51585010115_348728,Control,0
888502026_89266616553_299437,Test,1
986253074_98775004162_179210,Test,0
586291888_1945411361_702312,Test,1
445641343_81742560632_511801,Test,1
798428059_29503153202_686085,Test,0
107446590_29397725040_254521,Test,1
816239426_1812122923_980205,Test,0
527006394_59406995342_930260,Test,0
920546875_3485123876_571531,Test,1
356130304_87586049334_943756,Test,0
564148681_47350782940_483400,Test,1
533966185_6800771165_185258,Control,0
96429166_33574612636_509387,Control,0
119029992_70105459510_933326,Test,1
108602470_35414089006_811600,Control,0
436863045_63966730023_280047,Control,0
573603937_60746761736_655753,Control,0
524809498_68919830722_707970,Test,1
483069437_99311347064_950478,Test,0
997301805_18671582561_536347,Test,0
458738459_86280285971_640996,Test,1
746772402_72375973894_154029,Control,0
266997412_41657509620_51777,Test,1
891203199_97059115231_156261,Test,1
825573074_20224473240_222136,Test,0
675485567_72331837788_777760,Test,1
237416454_57529924804_38985,Test,1
489234034_85401415694_122647,Test,0
101943895_86775091670_183092,Control,1
52912025_88558740537_979553,Control,1
687189538_73329407758_540858,Test,1
714923422_61196171538_63218,Control,0
452055951_45064330986_167204,Control,0
740914748_57514661788_31137,Control,0
340366719_13767983693_507398,Test,0
543246536_82187941432_781687,Test,0
729638663_67832454036_298007,Test,1
18644074_71944473236_781219,Test,1
848216628_5032949022_931761,Control,1
828769867_13841660967_684260,Control,0
519481480_68478418278_487840,Control,1
173648985_37676424270_579209,Test,1
314032287_94829796131_359322,Test,0
768543576_4146117901_15957,Test,0
978735739_22265474456_297476,Control,1
700970996_78939454020_610435,Control,0
216183635_29347713464_461068,Control,1
39548105_98381298513_559876,Control,0
979078273_68575622732_900469,Control,0
199213356_31679657069_181745,Test,1
91080021_52270972482_334853,Control,1
876154887_34831407172_189209,Control,1
737367756_66604855414_331627,Test,1
238673227_44979180689_959603,Test,0
362531431_90234095371_230541,Control,0
742260423_3576327181_820122,Control,0
950769019_74482268985_769006,Control,0
24453617_8577700745_140695,Control,0
135038250_87952617116_673755,Control,0
269096309_33126988293_654545,Control,1
728936915_37395719033_627140,Control,1
492038213_31751216631_958203,Test,1
205188934_4174146391_700019,Test,0
267959001_13694153513_578247,Test,1
415526805_18995953289_856360,Test,0
367746714_31841905860_83854,Test,1
619994933_94288422287_927414,Test,0
107406868_34571948150_269115,Test,1
953528673_99234517613_547224,Test,1
347633554_674887670_174436,Test,1
985562822_74315813965_458239,Test,0
521139159_66604805016_821012,Test,0
188901442_25255803562_688372,Test,1
893127296_74374933557_101557,Test,1
702023437_53480638390_286628,Test,1
970816776_527341383_253933,Test,1
267627654_72462258952_84061,Test,1
485523234_18675905932_448191,Control,0
290637315_26486300798_355446,Control,1
397996470_49765975765_413193,Control,1
406679108_89171290354_110943,Control,0
450644003_45999973708_254121,Test,1
926237392_90555387686_477683,Control,0
481890629_59527952400_647010,Control,0
96133755_68331161113_660482,Control,0
162621615_58418378737_110734,Control,0
930856917_37141751208_892380,Control,1
707092098_73246318267_648226,Control,0
777879725_60133257212_45763,Control,0
554221107_17009707301_2430,Control,1
399733700_83009966376_705562,Test,1
940127163_77762201755_355488,Test,0
296493561_68892416254_849142,Test,0
145834458_33226695804_347825,Test,1
99832388_98068692086_171671,Test,1
340306691_33240090134_777971,Test,0
17221108_1386688403_450630,Control,0
936189060_43954454912_514589,Control,0
301961351_20393566488_111936,Control,0
567752424_35875494806_473083,Control,1
677929353_72073861420_587884,Test,1
50402179_38548432494_178913,Control,1
18576240_29179773489_327089,Control,1
181568719_3356062691_833738,Control,1
992656235_77206275409_474433,Test,1
617898261_31673373635_923635,Test,0
974167979_84642907764_991708,Test,1
783830519_86916134367_985475,Test,1
188177304_290297627_860851,Control,1
362115240_30387462077_39076,Control,0
492901483_88533093296_597556,Control,0
682733090_88308077025_25306,Control,0
459525214_68792007394_338056,Control,0
734754805_37699147162_472930,Test,1
916691447_33732603757_581977,Control,1
611192013_7733862770_768390,Test,1
385046178_23094203293_799972,Test,0
169338104_46815392972_795238,Test,0
856189818_84489766531_76913,Control,0
720152085_86512606875_963440,Control,0
992736776_25286571141_868273,Test,1
722956157_94783728613_625316,Control,1
316944923_12154880269_664817,Control,0
135396314_60514710150_576331,Test,0
910838252_53988256858_173624,Test,1
790635429_57973996234_921797,Test,0
317236990_65161578473_490599,Test,1
548914209_90662749851_7379,Control,1
786482843_5081233142_102909,Control,1
820268665_29397258305_216347,Test,1
593200488_33257349557_352320,Test,1
258563514_50220312152_755558,Control,0
489229845_20699963299_839701,Control,0
42129350_877640223_845722,Control,0
758403718_90772942711_708332,Control,0
784042073_98448995739_312005,Control,0
468683530_38723248828_593433,Control,0
118170309_98030963044_476320,Control,1
20649755_84332765184_121454,Test,0
199834938_54536805943_760811,Test,0
265644877_95853369503_53745,Test,1
797464521_94006770854_975428,Test,0
886921770_13028036337_319555,Test,0
119597181_77299326088_263895,Control,1
551215897_31931682205_512576,Control,0
839501513_1319652694_257025,Control,0
152895602_40988926169_223893,Control,1
649225365_85001077411_76365,Test,1
514072371_32039104723_776058,Test,1
516321364_37320727443_44939,Test,1
468816974_26321348013_644539,Test,0
831841985_98723210502_330353,Test,0
517860508_27882793665_984767,Test,1
821055219_52015645474_527800,Test,1
553318828_44600784992_291871,Test,1
246584001_16175668246_844674,Test,1
716125628_91332952228_26023,Test,0
993445004_55245879092_985427,Test,0
771924854_9285602579_675389,Test,0
449124863_37255452976_374789,Test,1
534594289_89492967710_213656,Control,1
882473457_50924825159_480592,Control,1
436103884_35821608024_582976,Test,0
105716721_80700316781_770303,Test,0
115603857_91181643342_25780,Test,0
375669674_41630551324_692056,Test,0
882198526_32056327840_569927,Test,0
152349990_29832654123_848675,Control,0
313568608_73879435588_808780,Control,0
786151651_5976019742_342096,Control,0
565290411_56882963001_591033,Test,1
541148564_36220754817_503708,Control,1
988649823_99509844232_530598,Test,1
679101045_97056349268_843426,Test,0
342975931_87615124440_669509,Test,0
887237658_49217881537_52035,Test,0
631917923_59312949234_687490,Test,0
221425891_67667106272_30561,Control,0
743093584_97518989446_825000,Test,1
540602501_30028262876_482222,Test,0
62892218_28313499205_877749,Control,0
309454422_20491141886_733294,Control,1
776793999_76799023074_9172,Control,0
258525167_49190823461_796706,Test,0
803282428_97697840847_774261,Test,0
593970166_10236316314_893174,Test,0
998626885_85299959345_157303,Control,0
564696871_40323368102_356300,Control,0
195757769_83366727518_595707,Test,1
126373424_80059567273_775366,Test,1
994462138_11294362784_316378,Control,0
890250945_7273752995_279272,Control,1
575017927_71883137828_614603,Test,1
520025856_71047216227_451964,Test,0
453227291_75860292512_158972,Test,0
894094388_52447868857_201587,Test,0
737670033_13213746876_632401,Control,0
659201340_39326834937_238332,Test,1
595639805_88813073178_287444,Test,0
976073263_26688898142_178649,Test,1
747288509_82971953297_553122,Control,1
412739409_77271121688_511014,Test,1
51002095_18400078845_263985,Test,1
457509589_37270161767_739304,Control,1
419219310_24636100839_97435,Control,0
375097163_45945600773_670137,Control,0
538631812_24998154283_166408,Control,1
938135741_60126657627_305712,Control,0
691661732_85072183536_405838,Control,0
98119987_74719912898_937385,Control,0
490475770_64600660386_957927,Control,0
217699896_99977093151_239562,Control,0
707153525_73649003096_568917,Control,0
363988363_52559536208_548679,Control,0
228699601_31001269156_932518,Control,1
829779634_1988758642_992916,Test,0
727041522_41934410777_454016,Test,0
788460119_96004180858_739765,Control,0
573575735_26883491600_248469,Test,0
310823076_10871510686_575611,Test,0
786381007_29542789845_740892,Test,1
314797737_2680608992_537458,Test,0
922174401_38443815114_282389,Test,0
749305967_62155578869_410641,Test,1
664289811_31880647138_530725,Control,1
537317841_19849930875_17594,Test,0
685870420_38336192729_457543,Test,1
592501842_6643809541_514236,Control,1
469491124_563100236_410031,Test,0
326649004_38384038246_581826,Test,0
269702453_37618817969_835207,Test,1
403036615_45147489908_637391,Control,1
9470326_24808262668_803188,Control,1
698345154_7526471559_419221,Test,0
690073179_92097614872_824277,Control,1
851852080_13068684717_931657,Control,0
641607137_58394428245_615867,Control,1
67143611_87672895555_267921,Control,1
173468760_50473010025_815277,Control,0
676194958_90256756776_169209,Control,0
895778455_89331630377_101668,Test,0
86894498_52259578031_513101,Test,0
604171417_1039925452_830104,Control,1
96606477_791900877_46449,Control,1
161362918_13609017677_366972,Control,0
443395669_76541013759_35413,Control,1
105862321_36551903844_939043,Control,0
22709933_68645325703_416745,Test,1
450170414_89959525857_338733,Control,0
249149549_93063430359_775160,Control,0
716532487_25741243212_493535,Control,1
664656368_42765573514_245077,Control,1
527631770_89185949266_7087,Control,0
291395180_17689310288_461986,Control,0
370506566_48288416125_153658,Test,1
186577065_10799488159_952302,Test,1
654640973_75968140777_186571,Test,1
136140369_93690508547_696994,Test,1
203088627_26405118544_486191,Control,0
500124073_99821205917_973410,Control,0
429063632_40246518462_609624,Test,1
976757242_84948269565_931986,Control,1
320439250_42000708052_187372,Control,0
474651850_80853784779_49502,Test,0
280138178_77120098661_420464,Test,0
291662927_14080250650_373662,Test,0
311714731_92089683289_740254,Test,0
936640953_43579268276_356338,Test,1
516331591_81406411104_725057,Test,0
511874311_35390873278_730184,Control,1
796281978_7936321977_849018,Control,1
530945041_5408861678_836517,Test,1
977851228_60869052802_839274,Control,1
144941760_80854130644_901682,Control,0
558706248_48501569734_900923,Control,0
67258240_78649320652_486172,Test,0
916962682_64610211428_359099,Test,0
615459442_11099032483_102907,Control,0
575455479_88936391978_570156,Control,1
577836760_9899015281_828798,Test,1
677035751_90173286664_430485,Control,1
639028784_21531096690_195319,Control,0
646830709_6600335169_466461,Control,0
658821356_28131395994_924817,Control,1
569798440_19054390216_544144,Control,0
9826408_3152188662_877545,Test,1
262882924_55288096835_650671,Test,0
489801380_48870420810_677827,Test,0
611779558_92861432315_779336,Test,0
50776738_78810902758_470848,Test,0
871688328_46928674859_229401,Control,0
199472950_43659036175_487296,Control,1
642009384_88163624356_759891,Test,1
900524329_59743698969_489527,Test,1
640479367_18493316904_138893,Test,0
796708274_72260751060_456928,Control,1
902522643_57516586153_146758,Control,1
744223127_36552523146_683027,Control,1
465608750_7079028660_648988,Control,0
135188523_26628429160_28093,Test,1
699955982_90013729331_244935,Test,1
196014133_11925132141_961675,Control,1
328768111_62930097617_807501,Test,0
76525744_84628952903_111825,Control,1
640825350_30261663725_21828,Test,1
810335389_98725889814_857881,Control,1
201039556_81256170376_912329,Control,0
240496571_14258889113_952285,Control,1
31944554_25647337361_821660,Test,1
633760508_43131842050_449044,Test,0
241484413_76384654571_939479,Control,1
322050019_7895837531_791734,Test,1
274152003_53983162171_286843,Control,0
772534286_19913379171_651096,Test,0
150949759_19315467460_49210,Control,1
32259192_62643270773_509109,Control,0
440563645_14878231539_932177,Test,1
747175900_88226750400_986162,Control,1
289301851_4805949277_842187,Test,1
960166282_66825646769_193574,Test,0
534422047_11166472381_195483,Control,1
191714124_66797164435_191101,Control,0
18602423_2798784695_100665,Test,1
926529455_33325690406_816028,Control,1
801527246_4667103339_595249,Control,0
739090308_12524658800_752020,Control,1
213053553_11799727424_111029,Control,1
949588159_69045488845_2240,Test,1
522011567_30500900160_736170,Control,0
822694839_8723902722_774320,Control,0
189572970_63865413261_387530,Control,0
378572202_58777007627_381040,Control,0
46017219_91652837152_941762,Control,0
649517408_19571583751_461216,Control,0
797679369_55232678001_237532,Control,1
431435084_51153433741_170713,Test,0
708727058_50322193392_786206,Control,0
30181559_14821328152_573983,Control,1
165907311_99867945124_234421,Control,0
860953258_52927649031_266852,Test,1
803226953_97221283260_393531,Control,1
406455192_61590598_319769,Control,0
180956519_8654419239_723663,Test,0
277124044_66103663818_374095,Test,0
853449802_3344279771_972734,Test,1
377520612_59098523143_165426,Test,0
521933202_40742107388_828095,Test,1
45827396_46074784464_378337,Test,0
488041064_31594272159_718769,Control,0
939387758_31193499216_81944,Test,1
920596677_48893013082_36183,Test,1
322266110_68978426299_781991,Test,1
198991580_69119188440_934000,Test,0
552523357_29967333120_444221,Test,0
729204950_29991351699_770228,Test,1
304701324_97255299545_409794,Control,0
280765796_87423092206_306239,Test,0
138216973_17164195432_756728,Control,1
170674199_6405672895_825486,Control,0
456143316_45138498319_463694,Control,0
956462151_98811571177_397419,Control,0
570315114_94335691643_278311,Control,0
221008453_4759684129_17992,Control,0
704731728_63608511590_241199,Control,0
802942969_17460576007_854999,Control,0
766032186_29342235334_425896,Control,1
69684869_84007089911_911885,Test,1
476885346_74284640380_661287,Control,0
620477490_21008577529_146165,Control,0
760161151_14612529342_321698,Control,0
962560570_22943947481_760599,Control,0
564220952_90085487688_591014,Control,1
902043167_52317899872_212576,Control,1
727772572_34133016073_326433,Test,0
679652811_57801493879_582495,Test,1
604560346_52793086344_908711,Test,0
415052005_22432388648_526924,Test,0
995030088_66280728372_8746,Test,1
495425915_64025440749_604587,Test,0
122165945_58201297379_543195,Test,0
600617650_56473873283_477422,Test,0
742466242_40052679481_977609,Test,0
259162344_45039551903_175922,Test,1
492203748_44217495889_433112,Test,1
865576271_16850072767_754977,Test,0
176074227_17091129518_216654,Test,0
344341117_13590361833_649463,Control,1
249014940_87462450013_111341,Test,0
702671339_1496822158_656019,Test,0
962166766_79350981851_400855,Test,1
296787883_40016539143_687357,Test,0
214738312_53707323940_957240,Test,0
128951263_36740074512_576005,Test,0
996212297_45849595320_513995,Test,0
309569453_83554074034_873197,Test,0
182945561_84009626902_348637,Test,0
912125904_51579932097_510870,Control,0
746877855_2613476091_190281,Control,1
448513875_22554490928_302374,Control,0
410779714_98640984686_854825,Test,1
475859639_56529902965_384563,Test,1
202623094_90112168771_928748,Test,0
95109724_51703446157_204185,Control,0
554085534_75764058411_105735,Control,0
825088253_59606974781_513694,Control,1
711556858_69418567080_411754,Test,0
501709608_41874394832_601833,Test,1
298896487_11483635593_672780,Test,0
100221419_95702886123_228743,Test,0
828949317_28441223423_116452,Test,0
733648203_55673234897_567400,Test,0
386543854_32968576025_90322,Control,1
237059161_94831641818_782292,Test,1
271743056_70158587722_409735,Control,1
673013668_80260855077_175822,Control,1
515471164_79590648030_828671,Control,0
243713176_99052826863_11826,Control,0
704646822_64364808032_484912,Test,1
198833904_33927705705_778264,Test,0
268535487_8463096666_238059,Test,1
